# Analytic fit parameters for the partial photoionisation cross-sections 
# from all sub-shells (n, l) of the ground state of each atom and ion, taken from: 
# Verner & Yakovlev 1995, A&AS, 109, 125 
# We include only the 11 elements that are in CHIMES. We use these fits to calculate 
# the Auger photoionisation rates from the inner shells. 
# The columns are as follows: 
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# Column	Variable	Units	Description 
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#    1		   Z		 N/A	Atomic number 
#    2		   N		 N/A	Number of electrons
#    3		   n		 N/A	Principal quantum number of the subshell
#    4		   l		 N/A	Oribital quantum number
#    5		   E_th		 eV 	Threshold ionisation energy of the subshell
#    6		   E_0		 eV	Fit parameter in equation 1
#    7 		   sigma_0	 Mb	Fit parameter in equation 1
#    8 		   y_a		 N/A 	Fit parameter in equation 1
#    9 		   P 		 N/A	Fit parameter in equation 1
#    10 	   y_w 		 N/A 	Fit parameter in equation 1
# ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
10	2	1	0	1.196E+03	1.586E+02	6.695E+01	3.352E+01	2.002E+00	0.000E+00
10	1	1	0	1.362E+03	4.304E+01	5.475E+02	3.288E+01	2.963E+00	0.000E+00
12	12	3	0	7.646E+00	9.393E+00	3.034E+00	2.625E+07	3.923E+00	0.000E+00
12	12	2	1	5.490E+01	4.937E+01	2.023E+02	1.079E+04	2.960E+00	1.463E-02
12	12	2	0	9.400E+01	4.587E+01	1.671E+01	2.389E+01	4.742E+00	0.000E+00
12	12	1	0	1.311E+03	2.711E+02	3.561E+01	2.374E+01	1.952E+00	0.000E+00
12	11	3	0	1.504E+01	8.139E+00	3.278E+00	4.341E+07	3.610E+00	0.000E+00
12	11	2	1	6.569E+01	4.940E+01	2.049E+02	4.112E+03	2.995E+00	2.223E-05
12	11	2	0	9.881E+01	5.142E+01	1.290E+01	5.775E+01	3.903E+00	0.000E+00
12	11	1	0	1.304E+03	3.709E+02	1.767E+01	1.346E+02	1.225E+00	0.000E+00
